node_id,x_coord,y_coord,zone_id,EXTERNAL,PNR_2015,PNR_2019,PNR_2024,PNR_2030,PNR_2040,PNR_2050,PNR_2030UF,PNR_2040UF,PNR_2050UF,GEOMETRYSO,GEOMETRY_1,wkt_geom
325,428318.21687,4621949.72468,322,0,0,0,0,0,0,0,0,0,0,1,1,POINT (428318.2 4621950)
326,429070.69175,4622029.26593,323,0,0,0,0,0,0,0,0,0,0,1,1,POINT (429070.7 4622029)
327,429570.4547,4621993.45395,324,0,0,0,0,0,0,0,0,0,0,1,1,POINT (429570.5 4621993)
328,429972.15672,4622149.30791,0,0,0,0,0,0,0,0,0,0,0,1,1,POINT (429972.2 4622149)
329,429974.61484,4621743.26618,0,0,0,0,0,0,0,0,0,0,0,1,1,POINT (429974.6 4621743)
330,430355.62789,4622171.73358,326,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430355.6 4622172)
331,430318.86532,4621776.73506,327,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430318.9 4621777)
332,430561.48187,4622164.75275,328,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430561.5 4622165)
333,430515.60917,4621717.2137,329,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430515.6 4621717)
334,430828.06949,4622068.14659,330,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430828.1 4622068)
335,430812.80451,4621556.02222,331,0,0,0,0,0,0,0,0,0,0,1,1,POINT (430812.8 4621556)
336,431260.00892,4622056.64833,332,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431260 4622057)
337,431243.66286,4621544.9671599995,333,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431243.7 4621545)
338,431688.2956,4622040.6313,334,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431688.3 4622041)
339,431564.36279,4621535.81164,0,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431564.4 4621536)
340,431775.20918,4621530.17566,0,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431775.2 4621530)
341,432012.88878,4622246.38374,0,0,0,0,0,0,0,0,0,0,0,1,1,POINT (432012.9 4622246)
342,432004.49051,4622052.08047,0,0,0,0,0,0,0,0,0,0,0,1,1,POINT (432004.5 4622052)
343,432213.59309,4622046.18259,0,0,0,0,0,0,0,0,0,0,0,1,1,POINT (432213.6 4622046)
344,432223.23435,4622253.57446,0,0,0,0,0,0,0,0,0,0,0,1,1,POINT (432223.2 4622254)
345,432101.59198,4621838.89991,338,0,0,0,0,0,0,0,0,0,0,1,1,POINT (432101.6 4621839)
346,431989.478,4621525.62887,339,0,0,0,0,0,0,0,0,0,0,1,1,POINT (431989.5 4621526)
347,432721.74264,4622028.3517000005,340,0,0,0,0,0,0,0,0,0,0,1,1,POINT (432721.7 4622028)
348,433251.38139,4622159.27374,341,0,0,0,0,0,0,0,0,0,0,1,1,POINT (433251.4 4622159)
349,433223.77035,4621881.92487,342,0,0,0,0,0,0,0,0,0,0,1,1,POINT (433223.8 4621882)
350,433566.67149,4622159.81818,343,0,0,0,0,0,0,0,0,0,0,1,1,POINT (433566.7 4622160)
351,433535.54462,4621872.68826,344,0,0,0,0,0,0,0,0,0,0,1,1,POINT (433535.5 4621873)
352,434227.28855,4621950.781,345,0,0,0,0,0,0,0,0,0,0,1,1,POINT (434227.3 4621951)
353,427262.56529,4621251.45309,346,0,0,0,0,0,0,0,0,0,0,1,1,POINT (427262.6 4621251)
354,427924.56856,4621205.93839,347,0,0,0,0,0,0,0,0,0,0,1,1,POINT (427924.6 4621206)
355,428342.60311,4621348.77997,348,0,0,0,0,0,0,0,0,0,0,1,1,POINT (428342.6 4621349)
356,428349.23977,4620933.85001,349,0,0,0,0,0,0,0,0,0,0,1,1,POINT (428349.2 4620934)
357,428937.03327,4621349.95459,350,0,0,0,0,0,0,0,0,0,0,1,1,POINT (428937 4621350)
358,428957.29397,4620939.72472,351,0,0,0,0,0,0,0,0,0,0,1,1,POINT (428957.3 4620940)
359,429551.50769,4621377.37237,352,0,0,0,0,0,0,0,0,0,0,1,1,POINT (429551.5 4621377)
360,429534.9704,4620961.86991,353,0,0,0,0,0,0,0,0,0,0,1,1,POINT (429535 4620962)
